TARGET;AGE;SOCSTATUS_WORK_FL;SOCSTATUS_PENS_FL;GENDER;EDUCATION;MARITAL_STATUS;ORG_TP_STATE;JOB_DIR;PERSONAL_INCOME;OWN_AUTO;WORK_TIME;LOAN_MAX_DLQ_AMT
0;63;0;1;1;Среднее специальное;Состою в браке;;;5000;0;;0
0;40;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;11000;1;96;0
0;27;1;0;0;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;15000;0;108;0
0;49;1;0;1;Среднее специальное;Не состоял в браке;Частная компания;Участие в основ. деятельности;5000;0;20;0
0;29;1;0;0;Среднее специальное;Не состоял в браке;Индивидуальный предприниматель;Участие в основ. деятельности;10000;1;12;0
0;61;1;0;1;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;13000;0;96;0
0;43;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Вспомогательный техперсонал;30000;1;12;0
0;38;1;0;0;Высшее;Не состоял в браке;Частная компания;Участие в основ. деятельности;23000;0;6;0
0;38;1;0;0;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;15000;1;120;0
0;49;1;0;0;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;10000;0;240;0
0;44;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;13000;0;180;0
0;61;0;1;1;Среднее специальное;Состою в браке;;;5000;0;;0
0;28;1;0;1;Среднее специальное;Состою в браке;Индивидуальный предприниматель;Участие в основ. деятельности;8000;0;3;1666,28
0;31;1;0;0;Среднее специальное;Состою в браке;Государственная комп./учреж.;Пр-техн. обесп. и телеком.;20000;0;96;0
0;59;0;1;1;Среднее специальное;Состою в браке;;;4000;0;;0
0;54;1;0;1;Высшее;Состою в браке;Частная компания;Участие в основ. деятельности;8000;0;36;3240
0;48;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;13000;0;144;0
0;24;1;0;0;Высшее;Состою в браке;Частная компания;Участие в основ. деятельности;50000;0;30;0
0;48;1;0;1;Высшее;Вдовец/Вдова;Государственная комп./учреж.;Участие в основ. деятельности;15000;0;132;0
0;43;1;0;1;Неоконченное высшее;Разведен(а);Государственная комп./учреж.;Участие в основ. деятельности;20000;0;72;1440
0;23;1;0;0;Среднее специальное;Состою в браке;Индивидуальный предприниматель;Участие в основ. деятельности;18000;1;30;0
0;54;1;0;1;Среднее специальное;Не состоял в браке;Индивидуальный предприниматель;Участие в основ. деятельности;40000;0;120;0
0;37;1;0;0;Среднее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;10000;1;14;0
0;47;1;0;1;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;20000;0;14;0
0;52;0;1;1;Высшее;Состою в браке;;;5700;0;;0
0;24;1;0;0;Среднее;Состою в браке;Частная компания;Участие в основ. деятельности;15000;0;36;1220
0;48;1;0;1;Среднее;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;11000;0;324;0
0;58;0;1;0;Среднее специальное;Состою в браке;;;9000;0;;0
0;34;1;0;1;Высшее;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;9000;0;29;0
0;31;1;0;1;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;12800;0;96;0
0;31;1;0;0;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;20000;0;12;3160
1;35;1;0;1;Среднее специальное;Не состоял в браке;Частная компания;Участие в основ. деятельности;15000;0;24;3070
0;54;0;1;1;Высшее;Состою в браке;;;10000;0;;0
0;35;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;15000;0;72;0
0;61;0;1;1;Среднее специальное;Состою в браке;;;5500;0;;0
0;52;1;0;0;Среднее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;7000;0;360;0
1;34;1;0;0;Среднее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;6000;0;180;0
0;44;1;0;0;Неполное среднее;Гражданский брак;Государственная комп./учреж.;Пр-техн. обесп. и телеком.;11000;0;108;0
0;63;0;1;1;Неполное среднее;Состою в браке;;;4800;0;;0
0;30;1;0;0;Среднее специальное;Разведен(а);Государственная комп./учреж.;Участие в основ. деятельности;30000;0;48;0
0;27;1;0;1;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;5300;0;36;0
0;35;1;0;1;Высшее;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;50000;0;4;0
0;48;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;11000;0;120;0
0;29;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;11700;0;96;0
0;30;1;0;0;Среднее специальное;Состою в браке;Частная компания;Вспомогательный техперсонал;8000;0;60;0
0;31;1;0;1;Среднее;Состою в браке;Частная компания;Участие в основ. деятельности;5000;0;24;0
0;51;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;7500;0;60;0
0;47;1;0;0;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;18000;1;252;0
0;26;1;0;0;Неоконченное высшее;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;8000;0;24;0
0;44;1;0;0;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;20000;0;120;0
1;33;1;0;1;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;10000;0;12;0
0;35;1;0;1;Высшее;Не состоял в браке;Государственная комп./учреж.;Бухгалтерия, финансы, планир.;9000;0;28;0
0;51;1;0;1;Среднее специальное;Вдовец/Вдова;Государственная комп./учреж.;Участие в основ. деятельности;11000;0;300;0
0;43;1;0;1;Высшее;Состою в браке;Частная компания;Бухгалтерия, финансы, планир.;15000;0;12;0
0;35;1;0;0;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;15000;1;4;0
1;27;1;0;1;Среднее специальное;Не состоял в браке;Частная компания;Участие в основ. деятельности;10000;0;12;0
0;54;1;0;1;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;15000;0;36;0
0;28;1;0;1;Неполное среднее;Состою в браке;Частная компания;Участие в основ. деятельности;8000;0;12;0
0;53;1;0;0;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;25000;1;72;0
0;29;1;0;1;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;11000;0;12;0
0;59;1;0;1;Высшее;Разведен(а);Государственная комп./учреж.;Вспомогательный техперсонал;8500;0;48;0
0;56;1;0;0;Среднее специальное;Состою в браке;Некоммерческая организация;Участие в основ. деятельности;4000;0;24;0
0;37;1;1;1;Среднее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;15000;0;192;8020
0;51;1;0;0;Среднее специальное;Состою в браке;Индивидуальный предприниматель;Участие в основ. деятельности;8000;0;196;0
0;63;1;0;0;Среднее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;10000;0;24;0
0;31;1;0;0;Высшее;Состою в браке;Государственная комп./учреж.;Снабжение и сбыт;18000;0;94;0
0;58;1;0;0;Высшее;Состою в браке;Частная компания;Участие в основ. деятельности;15000;0;108;2720
0;48;1;0;0;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;12000;0;25;890
0;37;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;7300;0;190;0
0;52;1;0;1;Среднее специальное;Не состоял в браке;Частная компания;Бухгалтерия, финансы, планир.;25000;0;348;0
0;52;1;0;1;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Вспомогательный техперсонал;8000;0;96;0
0;37;1;0;0;Среднее специальное;Разведен(а);Государственная комп./учреж.;Участие в основ. деятельности;12000;1;120;0
0;22;1;0;0;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;8000;0;10;0
0;36;1;0;1;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;10000;0;205;0
0;37;1;0;0;Среднее;Состою в браке;Частная компания;Участие в основ. деятельности;14500;0;62;0
0;63;0;1;0;Среднее специальное;Состою в браке;;;5000;0;;0
0;26;1;0;0;Высшее;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;10000;0;14;2500
1;57;0;1;1;Среднее специальное;Состою в браке;;;3000;0;;0
0;45;1;0;1;Среднее;Не состоял в браке;Некоммерческая организация;Участие в основ. деятельности;5000;0;12;0
0;22;1;0;0;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;12000;0;19;0
0;57;1;1;0;Среднее;Не состоял в браке;Частная компания;Участие в основ. деятельности;30000;1;48;0
0;57;0;1;0;Среднее специальное;Состою в браке;;;6000;0;;0
0;39;1;0;0;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;27000;0;180;0
0;37;1;0;1;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;9000;0;120;0
0;41;1;0;0;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;18000;1;252;0
0;34;1;0;0;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;6000;0;24;0
0;44;1;0;0;Среднее специальное;Состою в браке;Частная компания;Вспомогательный техперсонал;15000;1;36;0
0;38;1;0;0;Среднее специальное;Состою в браке;Государственная комп./учреж.;Служба безопасности;13500;0;120;0
0;40;1;0;1;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;6500;0;120;0
0;40;1;0;0;Среднее специальное;Состою в браке;Частная компания;Пр-техн. обесп. и телеком.;14000;1;156;0
0;27;1;0;1;Неоконченное высшее;Состою в браке;Частная компания;Участие в основ. деятельности;15000;1;16;0
0;29;1;0;0;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;20000;0;84;0
0;28;1;0;1;Высшее;Состою в браке;Частная компания;Участие в основ. деятельности;10000;0;12;0
0;41;1;0;1;Среднее специальное;Не состоял в браке;Частная компания;Участие в основ. деятельности;8600;0;38;0
0;39;1;0;1;Среднее специальное;Состою в браке;Индивидуальный предприниматель;Участие в основ. деятельности;35000;0;72;0
0;43;1;0;0;Среднее;Состою в браке;Частная компания;Участие в основ. деятельности;15000;1;144;0
0;57;0;1;1;Среднее специальное;Вдовец/Вдова;;;8000;0;;0
0;50;1;0;1;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;15000;0;216;0
0;38;1;0;0;Среднее;Состою в браке;Частная компания;Участие в основ. деятельности;38000;1;36;0
0;51;1;0;1;Среднее специальное;Разведен(а);Государственная комп./учреж.;Участие в основ. деятельности;25000;0;72;0
1;54;1;0;1;Среднее специальное;Не состоял в браке;Частная компания;Участие в основ. деятельности;11000;0;15;0
0;35;1;0;1;Высшее;Состою в браке;Частная компания;Участие в основ. деятельности;15000;0;70;0
0;27;1;0;1;Высшее;Состою в браке;Индивидуальный предприниматель;Участие в основ. деятельности;10000;0;10;0
0;48;1;0;1;Неполное среднее;Состою в браке;Частная компания;Участие в основ. деятельности;6000;0;24;0
0;50;1;0;1;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;12000;0;48;0
0;41;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;5000;0;228;0
0;42;1;0;1;Неоконченное высшее;Состою в браке;Частная компания;Участие в основ. деятельности;10000;0;126;0
0;29;1;0;0;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;6200;0;3;0
0;27;1;0;0;Среднее специальное;Не состоял в браке;Некоммерческая организация;Участие в основ. деятельности;10000;0;24;0
0;40;1;0;0;Высшее;Состою в браке;Частная компания;Бухгалтерия, финансы, планир.;20000;0;24;1360
0;29;1;0;1;Среднее специальное;Не состоял в браке;Частная компания;Бухгалтерия, финансы, планир.;15000;0;18;1410
0;53;1;0;1;Среднее;Разведен(а);Частная компания;Вспомогательный техперсонал;6000;0;120;0
0;46;1;0;0;Высшее;Состою в браке;Частная компания;Вспомогательный техперсонал;8000;0;48;0
0;57;0;1;1;Среднее специальное;Вдовец/Вдова;;;7000;0;;0
0;32;1;0;1;Среднее специальное;Не состоял в браке;Частная компания;Участие в основ. деятельности;10500;0;60;0
0;56;1;0;1;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;170000;0;120;3520
0;51;1;1;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;15000;0;312;0
0;31;1;0;1;Высшее;Разведен(а);Частная компания;Бухгалтерия, финансы, планир.;15000;0;28;0
0;51;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;10000;0;42;0
0;43;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;8000;0;360;0
0;35;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;10000;0;13;0
0;38;1;0;1;Среднее специальное;Не состоял в браке;Частная компания;Бухгалтерия, финансы, планир.;9000;0;30;0
0;55;1;0;0;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;20000;0;420;0
0;37;1;0;1;Высшее;Разведен(а);Частная компания;Бухгалтерия, финансы, планир.;60000;0;7;0
0;38;1;0;0;Среднее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;10000;1;108;0
0;23;1;0;1;Среднее;Не состоял в браке;Государственная комп./учреж.;Вспомогательный техперсонал;8000;0;48;870
0;53;1;0;0;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;7000;1;360;0
0;40;1;0;0;Среднее специальное;Состою в браке;Частная компания;Вспомогательный техперсонал;7800;0;180;0
0;59;1;1;1;Среднее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;18000;0;180;0
0;37;1;0;1;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;10000;0;24;0
1;27;1;0;0;Среднее;Состою в браке;Индивидуальный предприниматель;Снабжение и сбыт;12000;0;12;0
0;63;1;0;1;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;25000;0;120;0
0;57;1;0;1;Среднее специальное;Разведен(а);Государственная комп./учреж.;Участие в основ. деятельности;12000;0;240;0
1;42;1;0;0;Среднее специальное;Разведен(а);Частная компания;Участие в основ. деятельности;15000;1;216;0
0;31;1;0;0;Неоконченное высшее;Состою в браке;Частная компания;Вспомогательный техперсонал;10000;0;84;0
0;33;1;0;1;Среднее;Состою в браке;Частная компания;Участие в основ. деятельности;3300;0;85;0
0;31;1;0;0;Среднее;Состою в браке;Частная компания;Участие в основ. деятельности;30000;0;27;3160
0;51;1;0;1;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;8000;0;336;0
0;28;1;0;0;Среднее;Состою в браке;Частная компания;Участие в основ. деятельности;25000;0;40;990,85
0;27;1;0;1;Среднее;Не состоял в браке;Частная компания;Участие в основ. деятельности;6000;0;36;0
0;48;1;0;0;Высшее;Состою в браке;Частная компания;Участие в основ. деятельности;10000;1;36;0
0;24;1;0;0;Высшее;Состою в браке;Некоммерческая организация;Участие в основ. деятельности;6500;0;12;0
0;29;1;0;0;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;25000;0;12;0
0;66;1;1;1;Среднее специальное;Вдовец/Вдова;Государственная комп./учреж.;Участие в основ. деятельности;9300;0;468;0
0;49;1;0;0;Среднее;Не состоял в браке;Частная компания;Вспомогательный техперсонал;10000;0;96;730
0;23;1;0;0;Среднее;Не состоял в браке;Частная компания;Участие в основ. деятельности;15000;0;24;0
0;34;1;0;0;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;8000;0;60;0
1;35;1;0;0;Среднее специальное;Не состоял в браке;Частная компания;Вспомогательный техперсонал;13000;0;6;0
0;34;1;0;1;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;18000;0;120;0
0;49;1;0;1;Среднее специальное;Гражданский брак;Государственная комп./учреж.;Участие в основ. деятельности;10000;0;36;0
0;29;1;0;0;Высшее;Не состоял в браке;Частная компания;Участие в основ. деятельности;20000;0;18;0
0;57;1;0;0;Неоконченное высшее;Состою в браке;Частная компания;Адм-хоз. и трансп. службы;12000;1;72;0
0;63;1;1;1;Высшее;Состою в браке;Государственная комп./учреж.;Адм-хоз. и трансп. службы;20000;0;410;13920
0;33;1;0;0;Среднее;Состою в браке;Государственная комп./учреж.;Вспомогательный техперсонал;35000;1;48;0
0;50;0;1;1;Среднее специальное;Состою в браке;;;8000;0;;0
0;48;1;0;1;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;18000;0;168;0
0;36;1;0;1;Высшее;Разведен(а);Некоммерческая организация;Участие в основ. деятельности;17000;1;60;0
0;34;1;0;0;Неполное среднее;Состою в браке;Государственная комп./учреж.;Вспомогательный техперсонал;6000;0;12;0
0;23;1;0;0;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;5500;0;23;0
0;29;1;0;0;Два и более высших образования;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;28000;0;18;0
0;47;1;0;1;Среднее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;9000;0;84;0
0;34;1;0;1;Среднее специальное;Разведен(а);Государственная комп./учреж.;Адм-хоз. и трансп. службы;14000;0;36;0
0;57;0;1;1;Среднее специальное;Вдовец/Вдова;;;9000;0;;0
0;53;1;0;1;Неполное среднее;Не состоял в браке;Частная компания;Участие в основ. деятельности;7000;0;12;0
0;61;0;1;1;Неполное среднее;Состою в браке;;;7000;0;;0
0;34;1;0;1;Среднее специальное;Разведен(а);Государственная комп./учреж.;Участие в основ. деятельности;10000;0;96;0
1;47;1;0;1;Среднее специальное;Не состоял в браке;Частная компания;Участие в основ. деятельности;25000;0;60;0
0;24;1;0;0;Среднее специальное;Состою в браке;Частная компания;Снабжение и сбыт;20000;1;24;0
0;56;0;1;1;Среднее специальное;Состою в браке;;;10000;0;;0
0;42;1;0;0;Среднее специальное;Разведен(а);Частная компания;Вспомогательный техперсонал;10000;0;6;2190
0;62;1;1;1;Среднее;Не состоял в браке;Частная компания;Участие в основ. деятельности;15000;0;36;0
1;37;1;0;1;Среднее специальное;Состою в браке;Индивидуальный предприниматель;Участие в основ. деятельности;12000;0;50;0
0;41;1;0;1;Среднее;Состою в браке;Частная компания;Участие в основ. деятельности;15000;0;1;0
0;49;1;0;1;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;2300;0;36;0
1;25;1;0;1;Среднее специальное;Не состоял в браке;Индивидуальный предприниматель;Участие в основ. деятельности;12000;0;30;1374,28
0;39;1;0;0;Среднее специальное;Состою в браке;Индивидуальный предприниматель;Участие в основ. деятельности;20000;0;48;0
0;25;1;0;0;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Адм-хоз. и трансп. службы;12000;0;24;0
0;44;1;0;1;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Вспомогательный техперсонал;7000;0;96;0
1;23;1;0;1;Среднее;Состою в браке;Индивидуальный предприниматель;Участие в основ. деятельности;12000;0;36;2590,15
0;27;1;0;0;Среднее специальное;Состою в браке;Частная компания;Адм-хоз. и трансп. службы;15000;1;7;0
0;36;1;0;1;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;8000;0;38;0
0;47;1;0;1;Высшее;Разведен(а);Государственная комп./учреж.;Участие в основ. деятельности;30000;0;18;0
0;56;1;1;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;10000;0;240;0
0;30;1;0;0;Среднее специальное;Состою в браке;Индивидуальный предприниматель;Участие в основ. деятельности;6000;0;60;0
0;48;1;0;1;Среднее;Не состоял в браке;Частная компания;Участие в основ. деятельности;12000;0;288;0
0;50;1;0;0;Среднее специальное;Состою в браке;Частная компания;Служба безопасности;15000;0;72;0
0;30;1;0;1;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;15000;0;60;0
0;49;1;0;1;Неполное среднее;Вдовец/Вдова;Государственная комп./учреж.;Участие в основ. деятельности;5000;0;60;540
0;27;1;0;0;Неполное среднее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;12000;1;8;0
1;39;1;0;0;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;32000;1;36;0
0;53;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;20000;0;120;0
0;44;1;0;0;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;10000;0;60;0
0;52;0;1;1;Среднее специальное;Состою в браке;;;5500;1;;0
0;24;1;0;1;Высшее;Состою в браке;Частная компания;Участие в основ. деятельности;12000;0;7;1180
0;25;1;0;1;Среднее;Разведен(а);Индивидуальный предприниматель;Участие в основ. деятельности;13500;0;12;1390
0;60;1;1;1;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;5000;0;12;0
0;40;1;0;0;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;11000;0;216;0
0;48;1;0;1;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;15000;1;288;0
0;38;1;0;0;Среднее специальное;Состою в браке;Частная компания;Адм-хоз. и трансп. службы;21000;0;216;0
1;35;1;0;0;Высшее;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;28000;0;49;6200
0;33;1;0;1;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;18000;0;60;2701,26
0;29;1;0;0;Высшее;Не состоял в браке;Частная компания;Участие в основ. деятельности;35000;0;27;0
0;58;1;0;1;Высшее;Не состоял в браке;Частная компания;Участие в основ. деятельности;30000;0;36;6490
0;49;1;1;1;Среднее;Состою в браке;Частная компания;Участие в основ. деятельности;7500;0;96;0
0;66;0;1;1;Неполное среднее;Вдовец/Вдова;;;8400;0;;0
1;50;1;0;1;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;5600;0;53;0
0;34;1;0;1;Высшее;Разведен(а);Частная компания;Участие в основ. деятельности;15000;0;84;0
0;58;1;0;0;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;13000;0;120;0
0;49;1;0;1;Среднее специальное;Состою в браке;Частная компания;Бухгалтерия, финансы, планир.;20000;0;84;0
0;42;1;0;1;Среднее специальное;Вдовец/Вдова;Частная компания;Участие в основ. деятельности;25000;0;84;0
0;34;1;0;1;Среднее;Состою в браке;Индивидуальный предприниматель;Участие в основ. деятельности;6000;0;18;0
0;37;1;0;1;Высшее;Разведен(а);Частная компания;Участие в основ. деятельности;9800;0;72;2969,75
1;27;1;0;0;Среднее;Не состоял в браке;Индивидуальный предприниматель;Участие в основ. деятельности;12000;0;5;918,28
0;60;1;0;0;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;11000;0;480;1290
0;37;1;0;1;Высшее;Не состоял в браке;Частная компания;Участие в основ. деятельности;15000;0;36;2370
0;38;1;0;1;Высшее;Не состоял в браке;Частная компания;Участие в основ. деятельности;10000;0;120;0
0;43;1;0;1;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;9000;0;228;0
0;35;1;0;1;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;15000;0;204;0
0;39;1;0;1;Среднее специальное;Состою в браке;Индивидуальный предприниматель;Участие в основ. деятельности;6500;0;97;0
0;42;1;0;1;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;10000;0;144;0
0;32;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;7000;0;120;0
0;49;1;0;0;Среднее;Состою в браке;Частная компания;Участие в основ. деятельности;15000;1;192;0
0;35;1;0;0;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;35000;1;24;0
1;42;1;0;1;Среднее специальное;Не состоял в браке;Частная компания;Участие в основ. деятельности;10000;0;12;0
1;35;1;0;0;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;25000;0;8;0
0;38;1;0;0;Среднее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;10000;0;156;0
